epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2847.11,1.16047,1.02756,1.22744,0.70787,0.54876,0.62281,0.38989,1.33011,1.11527,1.31858,0.0008318,0.0008318,0.0008318
61,2895.17,1.14904,1.00879,1.21149,0.73445,0.53588,0.62627,0.38567,1.35117,1.11571,1.3477,0.000812,0.000812,0.000812
62,2942.8,1.13441,1.00399,1.20997,0.72928,0.54615,0.62617,0.39113,1.3104,1.12672,1.31332,0.0007922,0.0007922,0.0007922
63,2990.9,1.14934,0.99754,1.2156,0.70272,0.55047,0.62725,0.39247,1.30654,1.11404,1.31003,0.0007724,0.0007724,0.0007724
64,3038.75,1.13681,1.00041,1.20434,0.74459,0.53464,0.6279,0.39382,1.3012,1.09202,1.29621,0.0007526,0.0007526,0.0007526
65,3087.37,1.11532,0.98013,1.19912,0.69202,0.56606,0.62771,0.39928,1.29852,1.11048,1.29774,0.0007328,0.0007328,0.0007328
66,3134.82,1.11905,0.98134,1.19662,0.71365,0.55988,0.6304,0.39537,1.32305,1.10445,1.31781,0.000713,0.000713,0.000713
67,3182.32,1.12522,0.98287,1.20579,0.7502,0.54277,0.63178,0.39454,1.30766,1.10763,1.31263,0.0006932,0.0006932,0.0006932
68,3230.32,1.11125,0.97625,1.19435,0.7255,0.54715,0.62878,0.39573,1.30262,1.10368,1.31164,0.0006734,0.0006734,0.0006734
69,3277.91,1.09592,0.9492,1.18414,0.73274,0.55047,0.63319,0.39683,1.29925,1.09854,1.29538,0.0006536,0.0006536,0.0006536
70,3325.56,1.10089,0.95802,1.18746,0.72523,0.56332,0.64024,0.40038,1.31315,1.07957,1.3112,0.0006338,0.0006338,0.0006338
71,3372.94,1.09674,0.94895,1.18341,0.73791,0.55133,0.63538,0.40129,1.29912,1.08791,1.30682,0.000614,0.000614,0.000614
